Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/DM4HypeGuy/status/1798776832441110970,English,38,0,"2024-06-06 10:59:00","No text","text, picture",0,7,1147
https://x.com/DM4HypeGuy/status/1798775327440949448,English,191,2,"2024-06-06 10:53:00","Express thoughts","text, picture",0,37,3529
https://x.com/BoxOfficeTheory/status/1798774942907158909,English,10,1,"2024-06-06 10:52:00","Express thoughts","text, picture",0,5,1285
https://x.com/SKNRGareth/status/1798759571076550904,English,3,0,"2024-06-06 09:51:00","Express thoughts","text, picture",0,2,545
https://x.com/bulletproofsqui/status/1798751894346883231,English,5,2,"2024-06-06 09:20:00","Express thoughts","text, picture",1,2,1331
https://x.com/DM4HypeGuy/status/1798746995768930514,English,111,2,"2024-06-06 09:01:00",Announcement,"text, video",1,23,2119
https://x.com/DM4HypeGuy/status/1798739966450979223,English,49,2,"2024-06-06 08:33:00","Express thoughts","text, picture",1,9,1361
https://x.com/DM4HypeGuy/status/1798737711718867294,English,65,4,"2024-06-06 08:24:00","Express thoughts","text, GIF image",0,11,1651
https://x.com/DM4HypeGuy/status/1798736874846158959,English,49,0,"2024-06-06 08:21:00","No text","text, picture",1,7,1345
https://x.com/Minions_Fanboy/status/1798730906733277465,English,1600,7,"2024-06-06 07:57:00",Announcement,"text, picture",8,200,22000
https://x.com/BoxOfficeFcst/status/1798721606757572944,English,14,2,"2024-06-06 07:20:00","Express thoughts","text, picture",0,1,1412
https://x.com/IndiaCinepolis/status/1798671186940858810,English,3,1,"2024-06-06 04:00:00",Announcement,"text, video",0,0,389
https://x.com/popgek/status/1798631821833629982,Turkish,126,1,"2024-06-06 01:23:00",Announcement,"text, video",1,1,10600
https://x.com/AlamoDC/status/1798491715554443406,English,0,0,"2024-06-05 16:06:00",Announcement,"text, picture",0,0,430
https://x.com/DM4HypeGuy/status/1798473133814603834,English,53,1,"2024-06-05 14:53:00","Express thoughts","text, picture",0,8,1488
https://x.com/Minions_Fanboy/status/1798463703001530629,English,176,2,"2024-06-05 14:15:00",Announcement,"text, video",0,32,7544
https://x.com/grucyloverr/status/1798462583046869356,English,14,0,"2024-06-05 14:11:00","Express thoughts","text, video",0,3,389
https://x.com/Movie_Scoop/status/1798456607455465882,English,1,0,"2024-06-05 13:47:00",Announcement,"text, video",0,0,103
https://x.com/dboxtech/status/1798445942640677297,English,6,1,"2024-06-05 13:05:00",Announcement,"text, picture",0,1,394
https://x.com/grucyloverr/status/1798438855072203193,English,6,0,"2024-06-05 12:36:00","Express thoughts","text, GIF image",0,0,228
https://x.com/M0VI3MAN37/status/1798437990873936104,English,0,0,"2024-06-05 12:33:00","Express thoughts","text, picture",0,0,222
https://x.com/Minions_Fanboy/status/1798436737091559473,English,59,0,"2024-06-05 12:28:00",Announcement,"text, picture",0,7,2914
https://x.com/JuanLoz78948450/status/1798436277190361401,English,2,0,"2024-06-05 12:26:00",Announcement,"text, picture",0,0,407
https://x.com/JuanLoz78948450/status/1798433812638314982,English,2,0,"2024-06-05 12:16:00",Announcement,"text, picture",0,0,352
https://x.com/DM4HypeGuy/status/1798432020533784909,English,123,4,"2024-06-05 12:09:00","Express thoughts","text, picture",2,25,3664
https://x.com/DM4HypeGuy/status/1798431527506006235,English,16,0,"2024-06-05 12:07:00",Announcement,"text, picture",0,3,1037
https://x.com/CinematizandoOf/status/1798425545203728523,Portuguese,2,0,"2024-06-05 11:43:00","Express thoughts","text, picture",0,0,142
https://x.com/UIPTurkiye/status/1798424762345206190,Turkish,1,0,"2024-06-05 11:40:00","Express thoughts","text, video",0,0,297
https://x.com/DERDYCOX/status/1798415616623415660,English,22,1,"2024-06-05 11:04:00","Express thoughts","text, picture",0,5,480
https://x.com/Gamma_Monkey/status/1798410660402840039,English,3,0,"2024-06-05 10:44:00","No text","text, picture",0,0,257
https://x.com/grucyloverr/status/1798402791989457171,English,8,0,"2024-06-05 10:13:00","Express thoughts","text, picture",0,1,257
https://x.com/FilmCaCinemas/status/1798399498684715204,English,0,0,"2024-06-05 10:00:00",Announcement,"text, picture",0,0,131
https://x.com/voxcinemas/status/1798398435483091085,English,2,0,"2024-06-05 09:56:00",Announcement,"text, video",0,0,391
https://x.com/DM4HypeGuy/status/1798397532143599801,English,76,0,"2024-06-05 09:52:00","Express thoughts","text, video",1,18,1818
https://x.com/kateskristen/status/1798395916207915473,English,13,1,"2024-06-05 09:46:00","Express thoughts","text, video",0,2,609
https://x.com/DM4HypeGuy/status/1798389641370009734,English,195,7,"2024-06-05 09:21:00","Express thoughts","text, video",1,43,7034
https://x.com/lady_despicable/status/1798387782307742004,English,25,0,"2024-06-05 09:13:00","Express thoughts","text, picture",0,6,876
